text,label
these days i feel frustrated while when things keep going wrong and i am trying to stay present,angry
right now i feel calm while coming back home from work without any special reason today,neutral
this morning i felt calm while doing my daily routine and i am paying attention to my thoughts,neutral
lately i have been feeling excited while talking with my friends after a long day,happy
lately i have been feeling nervous while waiting for test results and i am trying to stay present,anxious
this morning i felt mad while after a long and stressful day while i am doing my normal tasks,angry
right now i feel frustrated while when someone blames me for their mistake and i am trying to take care of myself,angry
lately i have been feeling okay while organising my room and i quietly accept this feeling,neutral
this morning i felt neutral while coming back home from work and i quietly accept this feeling,neutral
inside i feel drained while scrolling through social media and i am just breathing slowly,sad
i still cant shake the feeling that i might be unwelcome,sad
today i feel drained while remembering old mistakes without any special reason today,sad
these days i feel anxious while before meeting new people and i am trying to notice my mood,anxious
these days i feel sad while missing my friends and i am thinking about my day,sad
this evening i feel proud while finishing my work on time and i am just breathing slowly,happy
right now i feel boiling inside while when someone cuts me off in traffic and i am just breathing slowly,angry
i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote,angry
today i feel excited while talking with my friends and i quietly accept this feeling,happy
sometimes i feel thankful while drinking tea in the evening and i am taking a short break,happy
this morning i felt nervous while when i see many tasks on my list and i am writing it down in my journal,anxious
sometimes i feel drained while thinking about my problems without any special reason today,sad
today i feel tense while while waiting for a message and i quietly accept this feeling,anxious
lately i have been feeling nervous while when i see many tasks on my list without any special reason today,anxious
these days i feel frustrated while after reading rude comments online and i quietly accept this feeling,angry
inside i feel okay while cooking a simple meal and i am paying attention to my thoughts,neutral
lately i have been feeling nervous while when i see many tasks on my list and i am trying to notice my mood,anxious
right now i feel balanced while organising my room and i am just breathing slowly,neutral
this morning i felt glad while going out for dinner and i am thinking about my day,happy
sometimes i feel balanced while organising my room and i quietly accept this feeling,neutral
i am also feeling a bit bitchy about the way things are when we have conversations and others are around,angry
today i feel boiling inside while when people do not listen to me and i am just breathing slowly,angry
lately i have been feeling annoyed while when someone cuts me off in traffic after a long day,angry
i could already feel the difference in strength during technique class and three classes in i am starting to find my balance though it is still pretty shaky business,anxious
sometimes i feel happy while playing games with my siblings and i am trying to notice my mood,happy
lately i have been feeling angry while after a bad meeting at work and i am writing it down in my journal,angry
today i feel annoyed while after reading rude comments online and i am trying to take care of myself,angry
this evening i feel upset while walking home in the rain and i quietly accept this feeling,sad
inside i feel upset while thinking about my problems after a long day,sad
lately i have been feeling down while being alone in my room and i quietly accept this feeling,sad
this morning i felt joyful while relaxing at home after a long day and i am just breathing slowly,happy
i don t feel dissatisfied just distracted from my life,angry
these days i feel restless while while checking my emails and i quietly accept this feeling,anxious
i always feel a bit anxious before i preceptor because i am still learning,anxious
lately i have been feeling restless while waiting for test results and i am trying to notice my mood,anxious
these days i feel proud while listening to my favourite music after a long day,happy
already i watched tv in the evening at the office,neutral
inside i feel angry while after waiting in a long line without any special reason today,angry
i ran miles in my old custom orthotics and i still feel fine tonight,happy
these days i feel stressed while while waiting for a message after a long day,anxious
these days i feel uneasy while trying to fall asleep at night and i am thinking about my day,anxious
right now i feel irritated while after waiting in a long line and i am thinking about my day,angry
lately i have been feeling uneasy while before a job interview and i am trying to notice my mood,anxious
inside i feel sad while missing my friends and i am thinking about my day,sad
today i feel lonely while looking at old photos while i am doing my normal tasks,sad
today i feel glad while drinking tea in the evening and i am writing it down in my journal,happy
this evening i feel lonely while scrolling through social media and i am trying to notice my mood,sad
right now i feel heartbroken while trying to sleep but failing without any special reason today,sad
i feel i might have been too gloomy about it,sad
sometimes i feel irritated while when someone cuts me off in traffic and i am thinking about my day,angry
these days i feel heartbroken while sitting quietly after an argument and i am trying to take care of myself,sad
these days i feel angry while when things keep going wrong and i quietly accept this feeling,angry
this morning i felt proud while playing games with my siblings without any special reason today,happy
this evening i feel frustrated while when things keep going wrong and i am trying to notice my mood,angry
i feel drained yet so excited for her and her new journey,sad
this morning i felt fine while coming back home from work while i am doing my normal tasks,neutral
sometimes i feel drained while coming back from a bad day at work and i am thinking about my day,sad
these days i feel restless while trying to fall asleep at night without any special reason today,anxious
lately i have been feeling neutral while cooking a simple meal and i am writing it down in my journal,neutral
this evening i feel boiling inside while after arguing with a friend and i am taking a short break,angry
inside i feel restless while waiting for test results and i am writing it down in my journal,anxious
sometimes i feel heartbroken while thinking about my problems after a long day,sad
right now i feel drained while looking at old photos without any special reason today,sad
i feel humiliated the annoying little college student who takes on causes and pesters everyone about them,sad
inside i feel heartbroken while thinking about my problems without any special reason today,sad
sometimes i feel tense while before an important exam and i am trying to take care of myself,anxious
lately i have been feeling normal while coming back home from work after a long day,neutral
these days i feel joyful while going out for dinner and i am writing it down in my journal,happy
inside i feel okay while getting ready for the day without any special reason today,neutral
sometimes i feel heartbroken while missing my friends without any special reason today,sad
right now i feel happy while relaxing at home after a long day without any special reason today,happy
lately i have been feeling tense while trying to fall asleep at night and i am just breathing slowly,anxious
lately i have been feeling upset while thinking about my problems and i quietly accept this feeling,sad
these days i feel thankful while reading a good book and i am trying to stay present,happy
sometimes i feel irritated while after arguing with a friend and i quietly accept this feeling,angry
sometimes i feel fine while coming back home from work and i am trying to notice my mood,neutral
right now i feel frustrated while when people do not listen to me and i quietly accept this feeling,angry
these days i feel drained while coming back from a bad day at work and i am trying to take care of myself,sad
today i feel nervous while before an important exam and i am writing it down in my journal,anxious
this morning i felt disappointed while coming back from a bad day at work without any special reason today,sad
these days i feel uneasy while before an important exam and i am thinking about my day,anxious
this morning i felt thankful while having a walk in the park and i am just breathing slowly,happy
sometimes i feel mad while after a long and stressful day and i am trying to notice my mood,angry
this morning i felt happy while drinking tea in the evening and i am just breathing slowly,happy
this morning i felt normal while sitting quietly on the sofa and i am thinking about my day,neutral
these days i feel unhappy while being alone in my room without any special reason today,sad
this evening i feel content while playing games with my siblings and i am trying to notice my mood,happy
this morning i felt irritated while after arguing with a friend and i am trying to take care of myself,angry
right now i feel thankful while going out for dinner and i quietly accept this feeling,happy
right now i feel thankful while relaxing at home after a long day without any special reason today,happy
this evening i feel furious while when my plans are cancelled last minute after a long day,angry
lately i have been feeling balanced while cleaning the house and i am thinking about my day,neutral
these days i feel irritated while after reading rude comments online and i am trying to take care of myself,angry
inside i feel angry while when someone cuts me off in traffic and i am writing it down in my journal,angry
this morning i felt frustrated while when things keep going wrong and i am taking a short break,angry
this evening i feel mad while after arguing with a friend without any special reason today,angry
today i feel worried while waiting for test results and i am taking a short break,anxious
this evening i feel calm while doing my daily routine and i am thinking about my day,neutral
this evening i feel normal while getting ready for the day and i am trying to take care of myself,neutral
today i feel disappointed while trying to sleep but failing and i am writing it down in my journal,sad
this morning i felt restless while before a job interview and i am taking a short break,anxious
inside i feel happy while relaxing at home after a long day while i am doing my normal tasks,happy
sometimes i feel heartbroken while scrolling through social media and i am writing it down in my journal,sad
right now i feel neutral while sitting quietly on the sofa and i am trying to notice my mood,neutral
this morning i felt joyful while going out for dinner and i quietly accept this feeling,happy
today i feel balanced while organising my room while i am doing my normal tasks,neutral
inside i feel on edge while before meeting new people and i am taking a short break,anxious
this morning i felt okay while doing my usual work after a long day,neutral
ive had my ass handed to me by murt and im starting to feel fucked but just a little,angry
sometimes i feel mad while after a bad meeting at work and i am just breathing slowly,angry
today i feel worried while when i see many tasks on my list without any special reason today,anxious
this morning i felt upset while missing my friends and i am thinking about my day,sad
lately i have been feeling restless while before meeting new people and i am writing it down in my journal,anxious
i went to work and i feel stunned but numb,anxious
right now i feel proud while having a walk in the park while i am doing my normal tasks,happy
these days i feel excited while reading a good book while i am doing my normal tasks,happy
this morning i felt irritated while after waiting in a long line and i am trying to take care of myself,angry
this morning i felt okay while doing my daily routine and i am thinking about my day,neutral
inside i feel unhappy while trying to sleep but failing and i am paying attention to my thoughts,sad
sometimes i feel happy while finishing my work on time after a long day,happy
lately i have been feeling worried while when i think about the future and i am trying to stay present,anxious
right now i feel lonely while sitting quietly after an argument and i am just breathing slowly,sad
today i feel upset while coming back from a bad day at work and i quietly accept this feeling,sad
today i feel anxious while trying to fall asleep at night and i am paying attention to my thoughts,anxious
sometimes i feel worried while before a job interview without any special reason today,anxious
sometimes i feel mad while after a bad meeting at work after a long day,angry
this morning i felt proud while talking with my friends and i am just breathing slowly,happy
these days i feel unhappy while scrolling through social media after a long day,sad
also i read a book this afternoon at the office,neutral
this evening i feel steady while organising my room and i am just breathing slowly,neutral
this evening i feel nervous while waiting for test results and i am just breathing slowly,anxious
inside i feel lonely while walking home in the rain after a long day,sad
right now i feel glad while listening to my favourite music and i am paying attention to my thoughts,happy
inside i feel fine while organising my room without any special reason today,neutral
i am feeling very lethargic although still trying to get to the gym today but almost all my time seems to be now in a strange chilled out ambience,sad
these days i feel glad while listening to my favourite music while i am doing my normal tasks,happy
these days i feel nervous while waiting for test results without any special reason today,anxious
this evening i feel glad while playing games with my siblings after a long day,happy
right now i feel proud while spending time with my family while i am doing my normal tasks,happy
inside i feel glad while playing games with my siblings after a long day,happy
this evening i feel fine while answering emails and i am just breathing slowly,neutral
also i read a book this afternoon at the office,neutral
inside i feel proud while spending time with my family and i am just breathing slowly,happy
this evening i feel upset while walking home in the rain and i am taking a short break,sad
right now i feel heartbroken while remembering old mistakes after a long day,sad
this evening i feel on edge while trying to fall asleep at night after a long day,anxious
sometimes i feel heartbroken while looking at old photos and i am just breathing slowly,sad
sometimes i feel normal while answering emails after a long day,neutral
these days i feel sad while sitting quietly after an argument after a long day,sad
these days i feel balanced while answering emails and i am just breathing slowly,neutral
these days i feel excited while talking with my friends and i am paying attention to my thoughts,happy
sometimes i feel grateful while going out for dinner without any special reason today,happy
right now i feel stressed while waiting for test results without any special reason today,anxious
this evening i feel thankful while reading a good book without any special reason today,happy
this evening i feel uneasy while before meeting new people and i am thinking about my day,anxious
today i feel neutral while walking to the shop after a long day,neutral
this morning i felt frustrated while after reading rude comments online after a long day,angry
inside i feel angry while after a long and stressful day and i am paying attention to my thoughts,angry
sometimes i feel okay while coming back home from work after a long day,neutral
lately i have been feeling angry while after reading rude comments online and i am writing it down in my journal,angry
these days i feel annoyed while after waiting in a long line without any special reason today,angry
this evening i feel happy while listening to my favourite music and i quietly accept this feeling,happy
these days i feel calm while coming back home from work and i am writing it down in my journal,neutral
inside i feel boiling inside while after arguing with a friend and i am trying to take care of myself,angry
sometimes i feel glad while finishing my work on time without any special reason today,happy
these days i feel furious while when someone blames me for their mistake and i am taking a short break,angry
sometimes i feel content while relaxing at home after a long day and i am paying attention to my thoughts,happy
right now i feel stressed while before meeting new people and i am trying to stay present,anxious
these days i feel drained while thinking about my problems and i am taking a short break,sad
right now i feel balanced while getting ready for the day and i am thinking about my day,neutral
lately i have been feeling nervous while before a job interview and i am thinking about my day,anxious
lately i have been feeling on edge while before giving a presentation and i am thinking about my day,anxious
lately i have been feeling glad while having a walk in the park and i quietly accept this feeling,happy
right now i feel glad while spending time with my family and i am trying to stay present,happy
this evening i feel nervous while before an important exam and i am thinking about my day,anxious
this evening i feel balanced while getting ready for the day and i am writing it down in my journal,neutral
right now i feel frustrated while after arguing with a friend and i quietly accept this feeling,angry
lately i have been feeling excited while going out for dinner while i am doing my normal tasks,happy
today i feel upset while being alone in my room and i am just breathing slowly,sad
this evening i feel irritated while when someone blames me for their mistake and i am taking a short break,angry
sometimes i feel down while coming back from a bad day at work and i am writing it down in my journal,sad
right now i feel happy while talking with my friends and i quietly accept this feeling,happy
inside i feel anxious while while waiting for a message and i am thinking about my day,anxious
these days i feel balanced while walking to the shop and i am writing it down in my journal,neutral
this morning i felt frustrated while after reading rude comments online and i am writing it down in my journal,angry
sometimes i feel restless while before a job interview and i am writing it down in my journal,anxious
inside i feel balanced while walking to the shop without any special reason today,neutral
today i feel stressed while waiting for test results and i am thinking about my day,anxious
inside i feel steady while doing my daily routine and i am thinking about my day,neutral
this morning i felt upset while thinking about my problems and i am paying attention to my thoughts,sad
inside i feel content while reading a good book and i quietly accept this feeling,happy
inside i feel balanced while answering emails and i am trying to notice my mood,neutral
these days i feel frustrated while when someone blames me for their mistake and i am writing it down in my journal,angry
sometimes i feel lonely while remembering old mistakes and i am just breathing slowly,sad
this morning i felt okay while answering emails and i am trying to notice my mood,neutral
today i feel angry while when people do not listen to me and i am writing it down in my journal,angry
lately i have been feeling grateful while playing games with my siblings while i am doing my normal tasks,happy
i realize that this conversation can make some people feel paranoid or upset generally,anxious
this morning i felt grateful while having a walk in the park after a long day,happy
today i feel heartbroken while missing my friends without any special reason today,sad
right now i feel steady while cooking a simple meal and i am paying attention to my thoughts,neutral
just i went to the store today at the office,neutral
these days i feel grateful while spending time with my family and i quietly accept this feeling,happy
sometimes i feel drained while scrolling through social media and i am just breathing slowly,sad
sometimes i feel grateful while drinking tea in the evening and i am just breathing slowly,happy
right now i feel on edge while when i see many tasks on my list and i am trying to notice my mood,anxious
today i feel disappointed while remembering old mistakes and i am trying to stay present,sad
this morning i felt normal while answering emails and i quietly accept this feeling,neutral
this evening i feel joyful while listening to my favourite music and i quietly accept this feeling,happy
lately i have been feeling lonely while remembering old mistakes and i am writing it down in my journal,sad
this morning i felt heartbroken while scrolling through social media and i am thinking about my day,sad
today i feel joyful while going out for dinner after a long day,happy
this morning i felt angry while after arguing with a friend and i am trying to stay present,angry
sometimes i feel frustrated while when someone blames me for their mistake and i quietly accept this feeling,angry
inside i feel upset while coming back from a bad day at work and i am thinking about my day,sad
right now i feel upset while being alone in my room and i am trying to stay present,sad
inside i feel uneasy while while checking my emails and i am writing it down in my journal,anxious
these days i feel tense while waiting for test results and i am thinking about my day,anxious
these days i feel uneasy while before an important exam and i am trying to notice my mood,anxious
i feel selfish for that choice i made i just beg that you dont let your love for me go away,angry
right now i feel uneasy while waiting for test results without any special reason today,anxious
right now i feel anxious while trying to fall asleep at night and i am just breathing slowly,anxious
these days i feel stressed while waiting for test results and i am writing it down in my journal,anxious
this morning i felt okay while walking to the shop and i am paying attention to my thoughts,neutral
today i feel calm while cleaning the house and i am trying to take care of myself,neutral
right now i feel uneasy while waiting for test results and i am trying to stay present,anxious
these days i feel down while thinking about my problems and i am thinking about my day,sad
sometimes i feel calm while getting ready for the day and i am trying to stay present,neutral
sometimes i feel fine while doing my usual work and i am taking a short break,neutral
right now i feel neutral while doing my daily routine and i am trying to notice my mood,neutral
this evening i feel sad while being alone in my room after a long day,sad
this morning i felt lonely while thinking about my problems and i am trying to take care of myself,sad
i punched out of work sunday sighed and the brunch trumpeter waldo carter said from behind i know exactly how you feel this startled me and i flinched,anxious
sometimes i feel frustrated while after a bad meeting at work and i am thinking about my day,angry
right now i feel steady while cleaning the house and i quietly accept this feeling,neutral
right now i feel tense while before meeting new people and i am paying attention to my thoughts,anxious
today i feel proud while playing games with my siblings and i am taking a short break,happy
this evening i feel mad while after waiting in a long line while i am doing my normal tasks,angry
this morning i felt on edge while when i think about the future and i am writing it down in my journal,anxious
this evening i feel balanced while coming back home from work while i am doing my normal tasks,neutral
sometimes i feel nervous while while checking my emails while i am doing my normal tasks,anxious
this evening i feel frustrated while when people do not listen to me while i am doing my normal tasks,angry
right now i feel proud while finishing my work on time while i am doing my normal tasks,happy
this evening i feel okay while walking to the shop and i am writing it down in my journal,neutral
sometimes i feel frustrated while when someone cuts me off in traffic without any special reason today,angry
inside i feel furious while when someone cuts me off in traffic while i am doing my normal tasks,angry
these days i feel down while scrolling through social media and i am trying to take care of myself,sad
right now i feel steady while cleaning the house and i quietly accept this feeling,neutral
lately i have been feeling furious while after a long and stressful day and i am just breathing slowly,angry
already i went to the store today at the office,neutral
i do this week someone else does the other weeks soo yea that made me feel talented,happy
this morning i felt irritated while when people do not listen to me and i am writing it down in my journal,angry
